story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,color_family
90'S Grunge,AW23,Air Blue,Ajio,Bootcut,Abstract,1,-1.0,Cargo Pocket,Asymmetric,Baseball Collar,Asymmetric Placket,Above Knee,Full Sleeves,Adjustable Straps,Asymmetric,High-Rise,High-Top,Buckle,Cotton Mesh,Corduroy,Basket,Dry Clean,Canvas,Addy,100% Acrylic,2/1CL_850_DEEP INDIGO,Beige
Aged Appeal,AW24,Airforce Blue,Amazon,Color Block,Animal,2,0.0,Chisel Pocket,Boat Neck,Bertha Collar,Broad Placket,Ankle,Half Sleeves,Balloon sleeves,Cuffed,Low-Rise,Mid-Top,Button,EVA,Crochet,Brocade,Hand Wash,Flyknit,Airmax,100% Cotton,2/1CPL_1025_BLACK BY BLACK,Black
Animation,AW25,Aligers Blue,Flipkart,Contrast Stitch,Animation,2N / 1 Pair,1.0,Flap Pocket,Cowl Neck,Bib Collar,Concealed Placket,Below Knee,Long Sleeves,Batwing sleeves,Curved,Mid-Rise,Regular,Button / Zip,Rubber,Denim,Brushed Fleece,Machine Wash,Mesh,EVA,100% Polyester,2/1CPL_1025_DARK IBST,Blue
Anime,SS23,Almond Cream,Myntra,Convertible,Anime,3,2.0,Kangaroo Pocket,Crew Neck,Buttondown Collar,Cut & Sew Placket,Calf Length,Quarter Sleeves,Bell sleeves,Drawstring Hem,,,Drawstring,TAXAN 1.5 MM,Elasticated,Crochet,,Oily Burnish,NP-21508,100% Rayon,2/1CPL_1025_DARK INDIGO,Brown
Applique,SS24,Alphine Green,Regular,Cut & Sew,Art Deco,Pack of 2,3.0,Mock Pocket,Cross Over,Cascade Collar,Half Placket,Crop,Short Sleeves,Bishop sleeves,Elasticated,,,Elasticated,,Embroidered,Cross Hatch,,PU,PVC,100% Viscose,2/1CPL_1025_DEEP INDIGO,Burgundy
Art Museum,SS25,Amethyst Orchid,Tigc.in,Draped,Athletic,,4.0,Patch Pocket,Gathered,Chelsea collar,Long placket,Cropped,Sleeveless,Butterfly Sleeves,Elasticated Cuff,,,Elasticated/Belt,,Fleece,Denim,,PU Mesh,TPR,Cotton Blend,2/1CPL_1025_ECRU,Charcoal
Artistic Twist,,Antarctica,,Elasticated,Aztec,,5.0,Round Pocket,Halter Neck,Collarless,Loop Placket,Knee,,Cap sleeves,Elasticated Hem,,,Elasticated/Button/Tie-up,,Jacquard ,Diagonal Ottoman,,PU Perforated,,Cotton Elastane,2/1CPL_1025_MULTICOUNT DEEP INDIGO,Cobalt
Artsinal Touch,,Anthra,,Embroidered,Badges,,,Scoop Pocket,Henley,Convertible Collar,No placket,Long,,Cape sleeves,Folded,,,Elasticated/Button/Zip,,Lace,Dobby,,PVC,,Cotton Flex,2/1CPL_1050_DEEP INDIGO BY BLACK,Coffee Brown
Astro Fades,,Anthra Melange,,Fringes,Baroque,,,Side Pocket,High Neck,Cuban Collar,Regular Placket,Longline,,Cold-shouldered sleeves,Handkerchief,,,Elasticated/Button/Zip/Drawstring,,Melange,Heathred,,Suede,,Cotton Linen Flex,2/1CPL_1050_GREY BY WHITE,Copper
Athletic,,Anthra Pique,,Gathered,Bengal Stripes,,,Utility Pocket,Hooded,Cutaway Collar,Self Fold Placket,Maxi,,Criss Cross Sleeves,Raw Edge,,,Elasticated/Drawstring,,Over Dyed,Herringbone,,Walker,,Cotton Lycocell,2/1CPL_925_DARK INDIGO,Coral
Athletic Panelling,,Antique Green,,Overhead,Border Print,,,V Pocket,Key hole Neck,Detachable Hood,Wide Placket,Mid,,Cuff,Ribbed Bottom,,,Elasticated/Tie-up,,Printed,Houndstooth ,,,,Cotton Polyester,2/1CTN_9_ INDIGO,Cream
Back To Oceans,,Antique White,,Pin Tucks,Buffalo Checks,,,Welt Pocket,Off Shoulder ,Frill,Zipper Flap Placket,Mid Thigh,,Cuff with Rib,Ribbed Cuff,,,Elasticated/Zipper/Button,,RFD,Ikat,,,,Cotton Polyester Elastane,2/1RGD_1025_INDIGO,Gold
Badges,,Apricot Crush,,Plain,Camouflage,,,Without Pocket,One Shoulder,High Neck Collar,Zipper Placket,Midi,,Cuff with adjustable tab,Ribbed Hem,,,Eyelet,,Seersucker,Knitted,,,,Linen,2/1RGD_8_DARK INDIGO,Green
